date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
18:46:23	1445/1445	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2022:46:23%20GMT	https://www.sephionegame.gq/robots.txt		(from )
18:46:23	7935/7935	---MCZ	200	added ('OK')	text/html	etag:W/%22e1f4266fddf641fb0f4e744633e118c2%22	https://www.sephionegame.gq/	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/index.html	(from )
18:46:23	62134/62134	---M--	200	added ('OK')	image/png	etag:%22f5cfba01371409056a178035adc2672b%22	https://www.sephionegame.gq/assets/images/favicon/apple-touch-icon.png	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/assets/images/favicon/apple-touch-icon.png	(from https://www.sephionegame.gq/)
18:46:24	62134/62134	---M--	200	added ('OK')	image/png	etag:%22f5cfba01371409056a178035adc2672b%22	https://www.sephionegame.gq/assets/images/favicon/favicon-32x32.png	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/assets/images/favicon/favicon-32x32.png	(from https://www.sephionegame.gq/)
18:46:24	62134/62134	---M--	200	added ('OK')	image/png	etag:%22f5cfba01371409056a178035adc2672b%22	https://www.sephionegame.gq/assets/images/favicon/favicon-16x16.png	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/assets/images/favicon/favicon-16x16.png	(from https://www.sephionegame.gq/)
18:46:25	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2022:46:25%20GMT	https://www.sephionegame.gq/assets/images/favicon/site.webmanifest	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/assets/images/favicon/site.3.delayed	(from https://www.sephionegame.gq/)
18:46:26	109262/109262	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%22e8ac04da06d7450e296ee4908c08a50b%22	https://www.sephionegame.gq/assets/images/favicon/evee.ico	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/assets/images/favicon/evee.ico	(from https://www.sephionegame.gq/)
18:46:26	3127/3127	---MCZ	200	added ('OK')	text/css	etag:W/%2278f37622065f3d53f84433f1691c7da1%22	https://www.sephionegame.gq/css/rawline.css	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/css/rawline.css	(from https://www.sephionegame.gq/)
18:46:27	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2022:46:27%20GMT	https://www.sephionegame.gq/ajax/libs/font-awesome/6.0.0-beta2/css/all.min.css	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/ajax/libs/font-awesome/6.0.0-beta2/css/all.min.6.delayed	(from https://www.sephionegame.gq/)
18:46:27	3620/3620	---MCZ	404	error ('Not%20Found')	text/html	date:Wed,%2007%20Sep%202022%2022:46:27%20GMT	https://www.sephionegame.gq/assets/reset.css	C:/My%20Web%20Sites/drake%20stealer/www.sephionegame.gq/assets/reset.7.delayed	(from https://www.sephionegame.gq/)
